2025-05-09 16:19:52,564 - INFO - Starting epoch 1
2025-05-09 16:19:54,541 - INFO - Speed: 24.36 samples/sec, Loss: 32.1928, Accuracy: 0.0000, Learning Rate: 0.100000, Epoch: 1, Global Step: 1
2025-05-09 16:19:55,197 - INFO - Speed: 398.97 samples/sec, Loss: 31.6371, Accuracy: 0.0000, Learning Rate: 0.100000, Epoch: 1, Global Step: 2
2025-05-09 16:19:55,769 - INFO - Speed: 414.34 samples/sec, Loss: 33.2240, Accuracy: 0.0000, Learning Rate: 0.100000, Epoch: 1, Global Step: 3
2025-05-09 16:19:56,320 - INFO - Speed: 421.47 samples/sec, Loss: 33.0112, Accuracy: 0.0000, Learning Rate: 0.100000, Epoch: 1, Global Step: 4
2025-05-09 16:19:56,870 - INFO - Speed: 398.77 samples/sec, Loss: 29.3517, Accuracy: 0.0000, Learning Rate: 0.100000, Epoch: 1, Global Step: 5
2025-05-09 16:19:57,413 - INFO - Speed: 425.38 samples/sec, Loss: 28.6576, Accuracy: 0.0000, Learning Rate: 0.100000, Epoch: 1, Global Step: 6
2025-05-09 16:19:57,951 - INFO - Speed: 434.20 samples/sec, Loss: 31.0030, Accuracy: 0.0000, Learning Rate: 0.100000, Epoch: 1, Global Step: 7
2025-05-09 16:19:58,523 - INFO - Speed: 431.65 samples/sec, Loss: 32.9493, Accuracy: 0.0312, Learning Rate: 0.100000, Epoch: 1, Global Step: 8
2025-05-09 16:19:59,095 - INFO - Speed: 337.66 samples/sec, Loss: 33.3547, Accuracy: 0.0000, Learning Rate: 0.100000, Epoch: 1, Global Step: 9
2025-05-09 16:19:59,716 - INFO - Speed: 307.78 samples/sec, Loss: 29.3637, Accuracy: 0.0312, Learning Rate: 0.100000, Epoch: 1, Global Step: 10
2025-05-09 16:20:00,281 - INFO - Speed: 420.19 samples/sec, Loss: 32.3230, Accuracy: 0.0000, Learning Rate: 0.100000, Epoch: 1, Global Step: 11
