SubjectName,Sessions,Type,Description
Toán học,5,Môn học chính,Toán học là môn học cơ bản nhất trong chương trình giáo dục phổ thông.
Vật lý,5,Môn học chính,Vật lý là môn học nghiên cứu về tự nhiên và khoa học tự nhiên.
Hóa học,5,Môn học chính,Hóa học là môn học nghiên cứu về cấu trúc và tính chất của chất.
Sinh học,5,Môn học chính,Sinh học là môn học nghiên cứu về sinh vật và sự sống.
Lịch sử,5,Môn học chính,Lịch sử là môn học nghiên cứu về lịch sử.
Địa lý,5,Môn học chính,Địa lý là môn học nghiên cứu về địa lý.
Dã ngoại,5,Môn học chính,Dã ngoại là môn học nghiên cứu về dã ngoại.
Tin học,5,Môn học chính,Tin học là môn học nghiên cứu về tin học.
Bơi lội,5,Môn học chính,Bơi lội là môn học nghiên cứu về bơi lội.
Cầu lông,5,Môn học chính,Cầu lông là môn học nghiên cứu về cầu lông.
Bóng Chuyền,5,Môn học chính,Bóng chuyền là môn học nghiên cứu về bóng chuyền.

