DayOfWeek,SlotNumber,StartTime,EndTime
Monday,1,07:00,07:45
Monday,2,07:50,08:35
Monday,3,08:50,09:35
Monday,4,09:40,10:25
Monday,5,10:30,11:15
Monday,6,13:00,13:45
Monday,7,13:50,14:35
Monday,8,14:40,15:25
Monday,9,15:30,16:15
Monday,10,16:20,17:05
Tuesday,1,07:00,07:45
Tuesday,2,07:50,08:35
Tuesday,3,08:50,09:35
Tuesday,4,09:40,10:25
Tuesday,5,10:30,11:15
Tuesday,6,13:00,13:45
Tuesday,7,13:50,14:35
Tuesday,8,14:40,15:25
Tuesday,9,15:30,16:15
Tuesday,10,16:20,17:05
Wednesday,1,07:00,07:45
Wednesday,2,07:50,08:35
Wednesday,3,08:50,09:35
Wednesday,4,09:40,10:25
Wednesday,5,10:30,11:15
Wednesday,6,13:00,13:45
Wednesday,7,13:50,14:35
Wednesday,8,14:40,15:25
Wednesday,9,15:30,16:15
Wednesday,10,16:20,17:05
Thursday,1,07:00,07:45
Thursday,2,07:50,08:35
Thursday,3,08:50,09:35
Thursday,4,09:40,10:25
Thursday,5,10:30,11:15
Thursday,6,13:00,13:45
Thursday,7,13:50,14:35
Thursday,8,14:40,15:25
Thursday,9,15:30,16:15
Thursday,10,16:20,17:05
Friday,1,07:00,07:45
Friday,2,07:50,08:35
Friday,3,08:50,09:35
Friday,4,09:40,10:25
Friday,5,10:30,11:15
Friday,6,13:00,13:45
Friday,7,13:50,14:35
Friday,8,14:40,15:25
Friday,9,15:30,16:15
Friday,10,16:20,17:05
