2025/04/28 17:27:22 [notice] 1#1: using the "epoll" event method
2025/04/28 17:27:22 [notice] 1#1: nginx/1.27.4
2025/04/28 17:27:22 [notice] 1#1: built by gcc 14.2.0 (Alpine 14.2.0) 
2025/04/28 17:27:22 [notice] 1#1: OS: Linux 5.15.167.4-microsoft-standard-WSL2
2025/04/28 17:27:22 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2025/04/28 17:27:22 [notice] 1#1: start worker processes
2025/04/28 17:27:22 [notice] 1#1: start worker process 29
2025/04/28 17:27:22 [notice] 1#1: start worker process 30
2025/04/28 17:27:22 [notice] 1#1: start worker process 31
2025/04/28 17:27:22 [notice] 1#1: start worker process 32
2025/04/28 17:27:22 [notice] 1#1: start worker process 33
2025/04/28 17:27:22 [notice] 1#1: start worker process 34
2025/04/28 17:27:22 [notice] 1#1: start worker process 35
2025/04/28 17:27:22 [notice] 1#1: start worker process 36
2025/04/28 17:27:22 [notice] 1#1: start worker process 37
2025/04/28 17:27:22 [notice] 1#1: start worker process 38
2025/04/28 17:27:22 [notice] 1#1: start worker process 39
2025/04/28 17:27:22 [notice] 1#1: start worker process 40
2025/04/28 17:27:22 [notice] 1#1: start worker process 41
2025/04/28 17:27:22 [notice] 1#1: start worker process 42
2025/04/28 17:27:22 [notice] 1#1: start worker process 43
2025/04/28 17:27:22 [notice] 1#1: start worker process 44
2025/05/07 19:08:16 [notice] 1#1: using the "epoll" event method
2025/05/07 19:08:16 [notice] 1#1: nginx/1.27.5
2025/05/07 19:08:16 [notice] 1#1: built by gcc 14.2.0 (Alpine 14.2.0) 
2025/05/07 19:08:16 [notice] 1#1: OS: Linux 6.8.0-57-generic
2025/05/07 19:08:16 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2025/05/07 19:08:16 [notice] 1#1: start worker processes
2025/05/07 19:08:16 [notice] 1#1: start worker process 29
2025/05/07 19:08:16 [notice] 1#1: start worker process 30
2025/05/07 19:08:16 [notice] 1#1: start worker process 31
2025/05/07 19:08:16 [notice] 1#1: start worker process 32
2025/05/07 19:08:16 [notice] 1#1: start worker process 33
2025/05/07 19:08:16 [notice] 1#1: start worker process 34
2025/05/07 19:09:42 [error] 30#30: *2 upstream timed out (110: Operation timed out) while reading response header from upstream, client: 118.70.191.159, server: localhost, request: "GET / HTTP/1.1", upstream: "http://172.27.0.6:3000/", host: "fams.io.vn"
2025/05/07 19:30:21 [error] 29#29: *56 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/07 19:30:53 [error] 30#30: *107 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/07 19:31:00 [error] 30#30: *113 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/07 19:32:17 [error] 30#30: *115 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/07 19:42:46 [error] 30#30: *121 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/07 19:56:07 [error] 33#33: *242 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/07 20:10:56 [error] 34#34: *377 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/07 20:15:59 [error] 31#31: *567 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/07 20:18:19 [error] 32#32: *608 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
2025/05/07 20:27:46 [error] 29#29: *677 recv() failed (104: Connection reset by peer) while proxying upgraded connection, client: 118.70.191.159, server: localhost, request: "GET /ws HTTP/1.1", upstream: "http://172.27.0.6:3000/ws", host: "fams.io.vn"
